iter	Passed	Remaining
895	4959	575
896	4965	570
897	4970	564
898	4975	559
899	4981	553
900	4986	547
901	4991	542
902	4997	536
903	5002	531
904	5007	525
905	5013	520
906	5018	514
907	5024	509
908	5029	503
909	5034	497
910	5039	492
911	5045	486
912	5050	481
913	5055	475
914	5060	470
915	5066	464
916	5071	459
917	5076	453
918	5082	447
919	5087	442
920	5092	436
921	5097	431
922	5103	425
923	5108	420
924	5113	414
925	5119	409
926	5124	403
927	5129	397
928	5134	392
929	5140	386
930	5145	381
931	5150	375
932	5156	370
933	5161	364
934	5166	359
935	5172	353
936	5177	348
937	5182	342
938	5187	337
939	5192	331
940	5198	325
941	5203	320
942	5209	314
943	5214	309
944	5219	303
945	5225	298
946	5230	292
947	5235	287
948	5241	281
949	5246	276
950	5251	270
951	5257	265
952	5262	259
953	5267	254
954	5273	248
955	5278	242
956	5283	237
957	5289	231
958	5294	226
959	5300	220
960	5305	215
961	5310	209
962	5315	204
963	5321	198
964	5326	193
965	5331	187
966	5337	182
967	5342	176
968	5348	171
969	5353	165
970	5358	160
971	5364	154
972	5369	149
973	5374	143
974	5380	137
975	5385	132
976	5390	126
977	5396	121
978	5401	115
979	5406	110
980	5412	104
981	5417	99
982	5422	93
983	5428	88
984	5433	82
985	5438	77
986	5444	71
987	5449	66
988	5455	60
989	5460	55
990	5465	49
991	5471	44
992	5476	38
993	5481	33
994	5486	27
995	5491	22
996	5497	16
997	5502	11
998	5508	5
999	5513	0
